Timestamp	Participant ID (please allow the researcher to fill in this field before continuing to the next section):	What is demand?	What is supply?	What is the definition of the law of demand?	What is the definition of the law of supply?	What is microeconomics?	What are complementary goods?	What are substitute goods?	What is excess demand?	What is excess supply?	What is equilibrium?	How can the price change in one product affect the demand of an equivalent product (e.g. running shoes from Nike and Adidas)? Select all that apply.	How is the shortage of a certain product (for example graphics cards) likely to affect the price of that product?	Which of the following pairs of goods are complementary?	The market for wireless headphones is currently in equilibrium. A company producing wireless headphones decides to increase the price. How does that affect the new equilibrium?	Which of the following might be included in a company's "costs of production?"	Which of the following pairs of goods could be considered substitute goods?	Please click here to confirm that you have completed the paper section to the best of your ability before proceeding to the next section.	What is your age?	What is your gender?	What is your highest achieved education level (completed or current)?	How is your eyesight?	If you answered that your eyesight was anything but normal in the previous question, please specify your condition here (e.g. myopia):	Are you a native English speaker?	If you are not a native English speaker, please rate your English proficiency:	If you know other languages than English, please indicate which ones and your proficiency in them. If your native language is not English, please indicate which language(s) is/are your native one(s):	Please rate how familiar you were with VR prior to this test:	If you have tried VR before, please rate how comfortable you felt with it prior to this test:	Please rate how comfortable you felt during this specific test:	Please rate how much you enjoyed this lecture:	Please rate how difficult you found this lecture:	Please rate how much you felt you learned from this lecture:	How would you describe the lecture? Please choose all words that apply:	Please rate your overall enjoyment of the experiment (VR, learning content, test):	If you have any additional comments on the test (e.g. the experience of VR, the questions asked, the video format, etc.), please write them below:	How would you rate your pre-existing knowledge within the field of economics?	If you have any background or pre-existing knowledge within the field of economics, please summarize it below (e.g. economics courses, an economics degree, personal interest, etc.):
11/2/2020 17:18:49	7187	The amount of a product that a consumer can and will buy at a given price at a given time	The willingness and ability of a producer to produce a given product at a given price at a given time	When the price of a product falls, the demand for the product can be expected to decrease	When the price of a product increases, the supply of the product can be expected to increase	Microeconomics is the study of economic agents such as households or companies	Products that are often produced or sold alongside matching products (e.g. dinner and lunch plates)	Goods that can be used to fulfill the same need for consumers in each other's place	When the quantity demanded is higher than it should be	None of the above	Equilibrium is a state in which the supply and demand for a given product are balanced	b) If the price of Nike shoes decrease, the demand for Adidas shoes can be expected to increase, c) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to decrease	The price is likely to increase	Running shoes and fitness watches, Washers and dryers, Football cleats and footballs	The price change leads to excess supply	Workers' wages, Cost of maintaining machinery, Cost of buying new machinery	Pens and pencils, Iphones and Android phones	I have completed the paper section of the test	26	Female	Master's degree	Corrected to normal (glasses or contact lenses)	near-sighted (but i didnt get to wear glasses in class :( )	Yes	5	Bosnian: Fluent. Danish: ok. French: Pretty shitty but I studied it for like 8 years so I need to include it	4	3	4	3	4	4	Difficult, Informative	4	People walking by the classroom was very distracting. Maybe would be nice to have something pointing on the lecture board.	1	I'm aware that NASDAQ exists but I do not know what it is.
11/2/2020 18:48:47	4121	The amount of a product that a consumer can and will buy at a given price at a given time	The willingness and ability of a producer to produce a given product at a given price at a given time	When the price of a product falls, the demand for the product can be expected to increase	When the price of a product increases, the supply of the product can be expected to increase	Microeconomics is the study of the economies of micronations	Products that are consumed or used along with other products and which often have little to no value on their own	Goods that can be used to fulfill the same need for consumers in each other's place	When the quantity demanded is higher than it should be	The total number of units of a certain item that a producer is planning to produce in a given time period	Equilibrium is a state in which the supply and demand for a given product are balanced	a) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to increase, d) If the price of Nike shoes decrease, the demand for Adidas shoes can be expected to decrease	The price is likely to increase	Washers and dryers, Football cleats and footballs	The price change leads to the demand curve shifting to the right	Workers' wages, Property taxes, Cost of maintaining machinery, Cost of buying new machinery	Pens and pencils, Iphones and Android phones	I have completed the paper section of the test	28	Female	Master's degree	Corrected to normal (glasses or contact lenses)	My right eye is nearsighted and my left eye is farsighted.	No	4	Mandarin Chinese, native; Russian, intermediate; Danish, basic	1	4	4	3	2	3	Informative	5	I could not see the content on the blackboard in the VR very clearly.	2	
11/2/2020 19:38:26	7742	The amount of a product that a consumer can and will buy at a given price at a given time	The willingness and ability of a producer to produce a given product at a given price at a given time	When the price of a product falls, the demand for the product can be expected to increase	When the price of a product increases, the supply of the product can be expected to increase	Don't know	Products that are often produced or sold alongside matching products (e.g. dinner and lunch plates)	Goods that can be used to fulfill the same need for consumers in each other's place	When the quantity demanded is higher than it should be	The total number of units of a certain item that hasn't been sold	Equilibrium is a state in which the supply and demand for a given product are balanced	a) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to increase, d) If the price of Nike shoes decrease, the demand for Adidas shoes can be expected to decrease	The price is likely to increase	Running shoes and fitness watches, Washers and dryers, Curling irons and waffle makers, Football cleats and footballs	The price change leads to excess supply	Don't know	Pens and pencils, Water and wine, Iphones and Android phones	I have completed the paper section of the test	23	Female	Master's degree	Normal		No	4	Chinese native	1		4	4	4	3	Engaging, Clear	4		1	
11/3/2020 10:39:38	6976	The amount of a product that a consumer can and will buy at a given price at a given time	The total number of units of a good produced by a supplier	When the price of a product falls, the demand for the product can be expected to increase	When the price of a product increases, the supply of the product can be expected to increase	Microeconomics is the study of economic agents such as households or companies	Products that are consumed or used along with other products and which often have little to no value on their own	Goods that can be used to fulfill the same need for consumers in each other's place	When the quantity demanded is higher than it should be	The total number of units of a certain item that hasn't been sold	Equilibrium is a state in which the supply and demand for a given product are balanced	a) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to increase, d) If the price of Nike shoes decrease, the demand for Adidas shoes can be expected to decrease	The price is likely to increase	None of the above	The price change leads to excess supply	Workers' wages	Pens and pencils, Iphones and Android phones	I have completed the paper section of the test	22	Male	Academy Profession	Normal		No	5	German-mother language 	3	5	5	5	5	3	Easy, Clear, Informative	5	Funny that there were people walking outside (intention of distraction?)	5	I was 4 years in a economics based highschool in germany where I graduated and in the marketing management degree I'm doing right now I also had economics classes
11/3/2020 11:35:08	6549	The amount of a product that a consumer can and will buy at a given price at a given time	The total number of units of a good produced by a supplier	When the demand for a product changes, so will the supply of it	When the supply of a product changes, so will the demand for it	Microeconomics is the study of economic agents such as households or companies	Products that are consumed or used along with other products and which often have little to no value on their own	Goods that can be used to fulfill the same need for consumers in each other's place	When the demand is higher than it should be	The total number of units of a certain item that hasn't been sold	Equilibrium is a state in which the supply and demand for a given product are balanced	a) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to increase, d) If the price of Nike shoes decrease, the demand for Adidas shoes can be expected to decrease	The price is likely to increase	Running shoes and fitness watches, Washers and dryers, Football cleats and footballs	The price change leads to excess supply	Workers' wages, Cost of maintaining machinery, Cost of buying new machinery	Pens and pencils, Iphones and Android phones	I have completed the paper section of the test	28	Male	Bachelor's degree	Corrected to normal (glasses or contact lenses)	near-sighted	No	4	Chinese - Native	3	4	3	2	3	3	Boring, Long-winded, Informative	5		1	
11/3/2020 12:36:53	9553	The amount of a product that a consumer can and will buy at a given price at a given time	The willingness and ability of a producer to produce a given product at a given price at a given time	When the price of a product falls, the demand for the product can be expected to increase	When the price of a product increases, the supply of the product can be expected to increase	Microeconomics is the study of economic agents such as households or companies	Products that are often produced or sold alongside matching products (e.g. dinner and lunch plates)	Goods that can be used to fulfill the same need for consumers in each other's place	None of the above	None of the above	Equilibrium is a state in which the supply and demand for a given product are balanced	a) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to increase	The price is likely to increase	Running shoes and fitness watches, Washers and dryers, Football cleats and footballs, Pepsi and water, Butter and margarine	The price change leads to the supply curve shifting to the right	Workers' wages, Property taxes, Cost of maintaining machinery, Cost of buying new machinery	Pens and pencils, Iphones and Android phones	I have completed the paper section of the test	41	Male	Master's degree	Corrected to normal (glasses or contact lenses)	mildly near sighted	No	4	Icelandic (native), danish (can read and have a day-to-day conversation)	2	5	5	4	3	3	Clear, Concise, Informative	5		4	My bachelors included microeconomics, macroeconomics, institutional economics, economics of development, environmental economics, game theory, and some more.
11/3/2020 15:44:42	5938	The amount of a product that the members of a group want to own	The total number of units of a good produced by a supplier	When the price of a product falls, the demand for the product can be expected to increase	When the price of a product increases, the supply of the product can be expected to decrease	Microeconomics is the study of economic agents such as households or companies	Products that are consumed or used along with other products and which often have little to no value on their own	Goods that can be used to fulfill the same need for consumers in each other's place	When the quantity demanded is higher than it should be	The total number of units of a certain item that hasn't been sold	Equilibrium is a state in which the supply and demand for a given product are balanced	a) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to increase, d) If the price of Nike shoes decrease, the demand for Adidas shoes can be expected to decrease	The price is likely to increase	Running shoes and fitness watches, Washers and dryers, Football cleats and footballs	The price change leads to excess supply	Workers' wages, Cost of maintaining machinery	Pens and pencils, Iphones and Android phones	I have completed the paper section of the test	21	Female	Bachelor's degree	Corrected to normal (glasses or contact lenses)	near sighed	No	4	spanish (native)/ french (native)	1		4	4	3	3	Concise, Informative	4		2	i never studied it, but i knew people who did and we sometimes chatted about it. i know some of the very basic concepts
11/3/2020 19:35:03	5592	The amount of a product that a consumer can and will buy at a given price at a given time	The willingness and ability of a producer to produce a given product at a given price at a given time	When the price of a product falls, the demand for the product can be expected to increase	When the price of a product increases, the supply of the product can be expected to decrease	Microeconomics is the study of supply and demand	Products that are consumed or used along with other products and which often have little to no value on their own	Goods that can be used to fulfill the same need for consumers in each other's place	When the demand is higher than it should be	The total number of units of a certain item that hasn't been sold	Equilibrium is a state in which the supply and demand for a given product are balanced	a) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to increase, d) If the price of Nike shoes decrease, the demand for Adidas shoes can be expected to decrease	The price is likely to increase	Running shoes and fitness watches, Washers and dryers, Football cleats and footballs	The price change leads to excess supply	Workers' wages, Cost of maintaining machinery, Cost of buying new machinery	Pens and pencils, Iphones and Android phones	I have completed the paper section of the test	32	Female	Bachelor's degree	Impaired	farsighted 	No	5	Swedish	5	5	2	2	2	3	Confusing	2	i couldn't read the text	3	nope
11/4/2020 18:46:43	8657	The amount of a product that a consumer can and will buy at a given price at a given time	The willingness and ability of a producer to produce a given product at a given price at a given time	When the demand for a product changes, so will the supply of it	When the supply of a product changes, so will the demand for it	Microeconomics is the study of economic agents such as households or companies	Don't know	Goods that can be used to fulfill the same need for consumers in each other's place	When the quantity demanded is higher than it should be	None of the above	Equilibrium is a state in which the supply and demand for a given product are balanced	a) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to increase	The price is likely to increase	Running shoes and fitness watches, Washers and dryers, Football cleats and footballs	Don't know	Workers' wages, Property taxes, Cost of maintaining machinery, Cost of buying new machinery	Pens and pencils, Iphones and Android phones	I have completed the paper section of the test	27	Male	Master's degree	Normal		Yes		danish, near native, german, fluent	1		4	2	4	2	Clear, Concise, Informative	5		3	some personal interest reading, unstructured
11/4/2020 20:42:57	2627	The amount of a product that the members of a group want to own	The total number of units of a good produced by a supplier	When the price of a product falls, the demand for the product can be expected to increase	When the supply of a product changes, so will the demand for it	Microeconomics is the study of supply and demand	Products that are often produced or sold alongside matching products (e.g. dinner and lunch plates)	Goods that can be used to fulfill the same need for consumers in each other's place	When the demand is higher than it should be	The total number of units of a certain item that hasn't been sold	Equilibrium is a state in which the supply and demand for a given product are balanced	b) If the price of Nike shoes decrease, the demand for Adidas shoes can be expected to increase, d) If the price of Nike shoes decrease, the demand for Adidas shoes can be expected to decrease	The price is likely to increase	Pepsi and water, Butter and margarine	The price change leads to excess supply	Workers' wages, Cost of maintaining machinery	Guitars and guitar amps, Shampoo and conditioner	I have completed the paper section of the test	25	Male	Bachelor's degree	Normal		No	5	German, native 	1		5	5	3	3	Boring, Dull, Clear, Confusing, Long-winded	5		1	
11/4/2020 21:53:30	7343	A group of customers' wish to purchase a given product at a given time	The total number of units of a good produced by a supplier	When the price of a product falls, the demand for the product can be expected to decrease	Don't know	Don't know	Products that are often produced or sold alongside matching products (e.g. dinner and lunch plates)	Goods that can be used to fulfill the same need for consumers in each other's place	When the demand is higher than it should be	None of the above	Equilibrium is a state in which the supply and demand for a given product are balanced	c) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to decrease	The price is likely to increase	Running shoes and fitness watches, Washers and dryers, Football cleats and footballs	The price change leads to the demand curve shifting to the right	Workers' wages, Cost of maintaining machinery, Cost of buying new machinery	Iphones and Android phones	I have completed the paper section of the test	32	Female	Master's degree	Normal		No	3	Chinese Mandarin	1		3	2	1	1	Difficult, Boring, Informative	5		1	
11/6/2020 11:27:12	4866	The amount of a product that a consumer can and will buy at a given price at a given time	The willingness and ability of a producer to produce a given product at a given price at a given time	When the price of a product falls, the demand for the product can be expected to increase	When the price of a product increases, the supply of the product can be expected to increase	Microeconomics is the study of economic agents such as households or companies	Products that are often produced or sold alongside matching products (e.g. dinner and lunch plates)	Goods that can be used to fulfill the same need for consumers in each other's place	When the quantity demanded is higher than it should be	The total number of units of a certain item that hasn't been sold	Equilibrium is a state in which the supply and demand for a given product are balanced	a) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to increase, d) If the price of Nike shoes decrease, the demand for Adidas shoes can be expected to decrease	The price is likely to increase	Running shoes and fitness watches, Washers and dryers, Football cleats and footballs	The price change leads to the supply curve shifting to the right	Workers' wages, Cost of buying new machinery	Pens and pencils, Water and wine, Iphones and Android phones	I have completed the paper section of the test	23	Male	Master's degree	Corrected to normal (glasses or contact lenses)	I did not use glasses for the experiment.	No	5	Native : Luxemburgish Native: Portuguese Fluent: French Fluent: German Fluent: English Limited working proficiency: Spanish	2	3	4	4	1	3	Easy, Clear, Concise, Informative	5	The video quality could be better. Risk of getting tired eyes with ongoing experiment.	5	Master studies in International Business. Completed Bachelor in Business Administration.
11/6/2020 12:30:16	6111	The amount of a product that a consumer can and will buy at a given price at a given time	The willingness and ability of a producer to produce a given product at a given price at a given time	When the price of a product falls, the demand for the product can be expected to increase	None of the above	None of the above	Don't know	Goods that can be used to fulfill the same need for consumers in each other's place	When the demand is higher than it should be	None of the above	Equilibrium is a state in which the supply and demand for a given product are balanced	a) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to increase	The price is likely to increase	Washers and dryers, Football cleats and footballs	The price change leads to excess supply	Workers' wages, Property taxes, Cost of maintaining machinery, Cost of buying new machinery	Pens and pencils, Iphones and Android phones	I have completed the paper section of the test	22	Female	Master's degree	Corrected to normal (glasses or contact lenses)		No	5	Dutch, native 	1		5	5	4	4	Clear, Concise, Informative	5		3	Economics course
11/6/2020 16:40:08	3793	The amount of a product that a consumer can and will buy at a given price at a given time	The willingness and ability of a producer to produce a given product at a given price at a given time	When the price of a product falls, the demand for the product can be expected to increase	When the price of a product increases, the supply of the product can be expected to decrease	Microeconomics is the study of economic agents such as households or companies	Products that are often produced or sold alongside matching products (e.g. dinner and lunch plates)	Goods that can be used to fulfill the same need for consumers in each other's place	When the quantity demanded is higher than it should be	The total number of units of a certain item that a producer is planning to produce in a given time period	Equilibrium is a state in which the supply and demand for a given product are balanced	b) If the price of Nike shoes decrease, the demand for Adidas shoes can be expected to increase, c) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to decrease	The price is likely to increase	Running shoes and fitness watches, Football cleats and footballs	The price change leads to the demand curve shifting to the right	Workers' wages, Cost of maintaining machinery	Pens and pencils, Iphones and Android phones	I have completed the paper section of the test	20	Female	Bachelor's degree	Normal		No	4	Dutch	2	5	5	4	2	3	Difficult, Exciting, Informative	5		1	
11/7/2020 12:52:48	9322	The amount of a product that a consumer can and will buy at a given price at a given time	The willingness and ability of a producer to produce a given product at a given price at a given time	When the price of a product falls, the demand for the product can be expected to increase	When the price of a product increases, the supply of the product can be expected to decrease	Microeconomics is the study of supply and demand	Products that are often produced or sold alongside matching products (e.g. dinner and lunch plates)	Goods that can be used to fulfill the same need for consumers in each other's place	When the quantity demanded is higher than it should be	The total number of units of a certain item that hasn't been sold	Equilibrium is a state in which the supply and demand for a given product are balanced	a) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to increase, d) If the price of Nike shoes decrease, the demand for Adidas shoes can be expected to decrease	The price is likely to increase	Running shoes and fitness watches, Washers and dryers, Football cleats and footballs	The price change leads to the demand curve shifting to the right	Workers' wages, Property taxes, Cost of maintaining machinery, Cost of buying new machinery	Pens and pencils, Iphones and Android phones	I have completed the paper section of the test	22	Female	Master's degree	Corrected to normal (glasses or contact lenses)	Myopia	No	5	Hindi	1		5	3	4	3	Clear, Concise, Informative	4		1	
11/7/2020 13:43:36	4604	A group of customers' wish to purchase a given product at a given time	The total number of units of a good produced by a supplier	When the price of a product falls, the demand for the product can be expected to increase	When the price of a product increases, the supply of the product can be expected to increase	None of the above	Products that are often produced or sold alongside matching products (e.g. dinner and lunch plates)	Goods that can be used to fulfill the same need for consumers in each other's place	When the demand is higher than it should be	The total number of units of a certain item that hasn't been sold	Equilibrium is a state in which the supply and demand for a given product are balanced	a) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to increase, d) If the price of Nike shoes decrease, the demand for Adidas shoes can be expected to decrease	None of the above	Running shoes and fitness watches, Football cleats and footballs	The price change leads to excess supply	Workers' wages, Property taxes, Cost of maintaining machinery	Pens and pencils, Iphones and Android phones	I have completed the paper section of the test	27	Male	Master's degree	Corrected to normal (glasses or contact lenses)	myopia	No	4	Portuguese and some French	4	4	4	2	3	2	Difficult, Dull	4	I was very interested in every other aspect of the lecture than hearing the voice coming from nowhere. Also, I because it is a screen somehow, I wanted to turn on the subtitles to be easy to get whatever I was hearing. And It was hard to read the letters on the graph displayed on the slide. I think that affected a little bit my test later. 	2	
11/7/2020 16:01:44	6639	The amount of a product that a consumer can and will buy at a given price at a given time	The willingness and ability of a producer to produce a given product at a given price at a given time	When the demand for a product changes, so will the supply of it	When the supply of a product changes, so will the demand for it	Microeconomics is the study of economic agents such as households or companies	Products that are often produced or sold alongside matching products (e.g. dinner and lunch plates)	Goods that can be used to fulfill the same need for consumers in each other's place	When consumers are willing to buy something even though it is overpriced	None of the above	Equilibrium is a state in which the supply and demand for a given product are balanced	a) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to increase, d) If the price of Nike shoes decrease, the demand for Adidas shoes can be expected to decrease	The price is likely to increase	Running shoes and fitness watches, Washers and dryers, Football cleats and footballs	None of the above	Workers' wages, Cost of maintaining machinery	Pens and pencils, Iphones and Android phones	I have completed the paper section of the test	25	Male	PhD	Normal		Yes	5	French [5] and Spanish [3]	1		2	2	1	2	Difficult, Dull, Concise, Long-winded, Informative	5	The lecture itself was somewhat dense and the resolution on the projector made focusing difficult. However, the immersion in the classroom was astounding.	3	None other than occasional Wikipedia searches
11/7/2020 16:36:25	3996	The amount of a product that a consumer can and will buy at a given price at a given time	The willingness and ability of a producer to produce a given product at a given price at a given time	When the price of a product falls, the demand for the product can be expected to increase	When the price of a product increases, the supply of the product can be expected to decrease	Microeconomics is the study of supply and demand	Products that are consumed or used along with other products and which often have little to no value on their own	Goods that can be used to fulfill the same need for consumers in each other's place	When the demand is higher than it should be	The total number of units of a certain item that hasn't been sold	Equilibrium is a state in which the supply and demand for a given product are balanced	a) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to increase, d) If the price of Nike shoes decrease, the demand for Adidas shoes can be expected to decrease	Don't know	Running shoes and fitness watches, Washers and dryers, Football cleats and footballs	The equilibrium remains the same	Workers' wages	Iphones and Android phones	I have completed the paper section of the test	27	Female	PhD	Normal		No	3	ITALIAN	1		5	5	5	2	Difficult, Confusing, Concise, Informative	4		1	
11/9/2020 16:53:18	3947	The amount of a product that a consumer can and will buy at a given price at a given time	The willingness and ability of a producer to produce a given product at a given price at a given time	When the price of a product falls, the demand for the product can be expected to increase	When the price of a product increases, the supply of the product can be expected to decrease	Microeconomics is the study of supply and demand	Products that are consumed as alternatives to other similar products and which do not rely on other products to be useful	Goods that can be used to fulfill the same need for consumers in each other's place	When the demand is higher than it should be	The total number of units of a certain item that hasn't been sold	Equilibrium is a state in which the supply and demand for a given product are balanced	b) If the price of Nike shoes decrease, the demand for Adidas shoes can be expected to increase, c) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to decrease	The price is likely to increase	Running shoes and fitness watches, Washers and dryers, Football cleats and footballs, Butter and margarine	The price change leads to the supply curve shifting to the right	Workers' wages, Property taxes, Cost of maintaining machinery, Cost of buying new machinery	None of the above	I have completed the paper section of the test	24	Female	Bachelor's degree	Corrected to normal (glasses or contact lenses)	slightly nearsighted 	Yes		French(fluent), spanish (proficient), danish (basic)	2	3	5	1	1	2	Difficult, Boring, Dull, Clear	3		1	
11/9/2020 17:39:27	4554	A group of customers' wish to purchase a given product at a given time	The total number of units of a good produced by a supplier	When the price of a product falls, the demand for the product can be expected to increase	When the price of a product increases, the supply of the product can be expected to increase	Microeconomics is the study of supply and demand	Products that are often produced or sold alongside matching products (e.g. dinner and lunch plates)	Goods that can be used to fulfill the same need for consumers in each other's place	When consumers are willing to buy something even though it is overpriced	The total number of units of a certain item that hasn't been sold	Equilibrium is a state in which the supply and demand for a given product are balanced	a) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to increase	The price is likely to increase	Running shoes and fitness watches, Football cleats and footballs	The price change leads to excess demand	Workers' wages, Property taxes, Cost of maintaining machinery, Cost of buying new machinery	Pens and pencils, Iphones and Android phones	I have completed the paper section of the test	28	Male	Master's degree	Corrected to normal (glasses or contact lenses)	I have negative 1 in both eyes	Yes	5	Danish is my native language and I am a 4 in proficiency	2	4	5	4	3	2	Exciting, Dull, Clear, Concise, Informative	5	Nice work making the clock work normally	3	Personal interest
11/11/2020 14:48:45	2069	The amount of a product that a consumer can and will buy at a given price at a given time	The willingness and ability of a producer to produce a given product at a given price at a given time	When the price of a product falls, the demand for the product can be expected to increase	None of the above	Microeconomics is the study of economic agents such as households or companies	Products that are often produced or sold alongside matching products (e.g. dinner and lunch plates)	Goods that can be used to fulfill the same need for consumers in each other's place	When the quantity demanded is higher than it should be	None of the above	Equilibrium is a state in which the supply and demand for a given product are balanced	b) If the price of Nike shoes decrease, the demand for Adidas shoes can be expected to increase, c) If the price of Nike shoes increase, the demand for Adidas shoes can be expected to decrease	The price is likely to increase	Running shoes and fitness watches, Washers and dryers, Football cleats and footballs	The price change leads to the demand curve shifting to the right	Workers' wages, Property taxes, Cost of maintaining machinery, Cost of buying new machinery	Pens and pencils, Iphones and Android phones	I have completed the paper section of the test	26	Female	Master's degree	Impaired	Nearsighted, -2.5 (also slight eye inflammation on right eye, might have made things a little more blurry, not sure)	No	5	Danish	3	4	3	4	2	4	Difficult, Clear, Informative	4	Had a difficult time seeing the board and especially reading the words on the graphs. This made the lecture more difficult generally. 	2	